edition,level,pillar,dimension,indicator,construct_id,name,description,source
2021-2024,dimension,Data and Infrastructure,Infrastructure,,DATA_INFRASTRUCTURE,Infrastructure,"Whether the country has good technological infrastructure to support AI technologies. Covers telecommunications infrastructure, availability of cloud-provider regions, broadband quality, 5G infrastructure, and adoption of emerging technologies.","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Data and Infrastructure,Data Availability,,DATA_AVAILABILITY,Data Availability,"Whether there is good, representative availability of data that could be used to train AI models. Covers open data, data governance, mobile-cellular subscriptions, household internet access and statistical capacity, together with equity of access including the internet gender gap and the affordability of internet-enabled devices.","Oxford Insights GAIRI 2022, Annex 1"
2021-2024,dimension,Data and Infrastructure,Data Representativeness,,DATA_REPRESENTATIVENESS,Data Representativeness,Whether the available data is likely to be representative of the population as a whole. Covers the internet-access gender gap and the cost of an internet-enabled device relative to GDP per capita.,"Oxford Insights GAIRI 2022, Annex 1"
2021-2024,indicator,Government,Vision,National AI strategy (Y/N),,National AI strategy (Y/N),,"Desk research (OECD AI Policy Observatory, Future of Life Institute)"
2021-2024,indicator,Government,Governance and Ethics,Data protection and privacy legislation,,Data protection and privacy legislation,,UN data protection and privacy legislation worldwide
2021-2024,indicator,Government,Governance and Ethics,Cybersecurity,,Cybersecurity,,Global Cybersecurity Index
2021-2024,indicator,Government,Governance and Ethics,Legal framework's adaptability to digital business models,,Legal framework's adaptability to digital business models,,Global Competitiveness Index
2021-2024,indicator,Government,Governance and Ethics,National ethics framework (Y/N),,National ethics framework (Y/N),,"Desk research (Nature, AI Ethics Lab)"
2021-2024,indicator,Government,Governance and Ethics,Accountability,,Accountability,,Worldwide Governance Indicators
2021-2024,indicator,Government,Digital Capacity,Online services,,Online services,,UN e-Government Survey
2021-2024,indicator,Government,Digital Capacity,Foundational IT infrastructure,,Foundational IT infrastructure,,World Bank GovTech Maturity Index
2021-2024,indicator,Government,Digital Capacity,Government promotion of investment in emerging technologies,,Government promotion of investment in emerging technologies,,Network Readiness Index
2021-2024,indicator,Government,Adaptability,Government effectiveness,,Government effectiveness,,Worldwide Governance Indicators
2021-2024,indicator,Government,Adaptability,Government's responsiveness to change,,Government's responsiveness to change,,Global Competitiveness Index
2021-2024,indicator,Government,Adaptability,Procurement data,,Procurement data,,Global Data Barometer
2021-2024,indicator,Technology Sector,Maturity,Number of AI unicorns,,Number of AI unicorns,,CB Insights
2021-2024,indicator,Technology Sector,Maturity,Number of non-AI technology unicorns,,Number of non-AI technology unicorns,,CB Insights
2021-2024,indicator,Technology Sector,Maturity,Value of trade in ICT services (per capita),,Value of trade in ICT services (per capita),,UNCTAD
2021-2024,indicator,Technology Sector,Maturity,Value of trade in ICT goods (per capita),,Value of trade in ICT goods (per capita),,UNCTAD
2021-2024,indicator,Technology Sector,Maturity,Computer software spending,,Computer software spending,,Global Innovation Index
2021-2024,indicator,Technology Sector,Innovation Capacity,Business administrative requirements,,Business administrative requirements,,Global Competitiveness Index
2021-2024,indicator,Technology Sector,Innovation Capacity,VC availability,,VC availability,,Global Innovation Index
2021-2024,indicator,Technology Sector,Innovation Capacity,R&D spending,,R&D spending,,UNESCO
2021-2024,indicator,Technology Sector,Innovation Capacity,Company investment in emerging technology,,Company investment in emerging technology,,Network Readiness Index
2021-2024,indicator,Technology Sector,Innovation Capacity,Research papers published in AI,,Research papers published in AI,,Scimago
2021-2024,indicator,Technology Sector,Human Capital,Graduates in STEM,,Graduates in STEM,,UNESCO
2021-2024,indicator,Technology Sector,Human Capital,GitHub users per thousand population,,GitHub users per thousand population,,GitHub
2021-2024,indicator,Technology Sector,Human Capital,Female STEM graduates,,Female STEM graduates,,World Bank
2021-2024,indicator,Technology Sector,Human Capital,Quality of engineering and technology higher education,,Quality of engineering and technology higher education,,QS Engineering & Technology rankings
2021-2024,indicator,Technology Sector,Human Capital,Digital skills,,Digital skills,,Global Competitiveness Index
2021-2024,indicator,Data and Infrastructure,Infrastructure,Telecommunications infrastructure,,Telecommunications infrastructure,,UN e-Government Survey
2021-2024,indicator,Data and Infrastructure,Infrastructure,Cloud providers,,Cloud providers,,Statista
2021-2024,indicator,Data and Infrastructure,Infrastructure,Broadband quality,,Broadband quality,,EIU Inclusive Internet Index
2021-2024,indicator,Data and Infrastructure,Infrastructure,5G infrastructure,,5G infrastructure,,Ookla 5G Map
2021-2024,indicator,Data and Infrastructure,Infrastructure,Adoption of emerging technologies,,Adoption of emerging technologies,,Network Readiness Index
2021-2024,indicator,Data and Infrastructure,Data Availability,Open data,,Open data,,Global Data Barometer
2021-2024,indicator,Data and Infrastructure,Data Availability,Data governance,,Data governance,,World Bank GovTech Maturity Index (2020)
2021-2024,indicator,Data and Infrastructure,Data Availability,Mobile-cellular telephone subscriptions,,Mobile-cellular telephone subscriptions,,ITU
2021-2024,indicator,Data and Infrastructure,Data Availability,Households with internet access,,Households with internet access,,ITU
2021-2024,indicator,Data and Infrastructure,Data Availability,Statistical capacity,,Statistical capacity,,World Bank
2021-2024,indicator,Data and Infrastructure,Data Representativeness,Gender gap in Internet access,,Gender gap in Internet access,,EIU Inclusive Internet Index
2021-2024,indicator,Data and Infrastructure,Data Representativeness,Cost of internet-enabled device relative to GDP per capita,,Cost of internet-enabled device relative to GDP per capita,,GSMA Mobile Connectivity Index
2025,pillar,Policy Capacity,,,,Policy Capacity,"The extent to which the government can design and implement effective AI policies aligned with a clear, national policy vision for how AI benefits the country, demonstrating commitment by assigning resources to that vision and engaging in international cooperation to address AI's global nature.","Oxford Insights GAIRI 2025 Methodology Report, p.6"
2025,pillar,Governance,,,,Governance,"The extent to which the government has clear governance principles that shape how AI is developed and adopted while protecting people's rights and societal interests, promoted through its own public-sector practices and ensuring an adaptive environment for regulatory compliance with respect to AI.","Oxford Insights GAIRI 2025 Methodology Report, p.6"
2025,pillar,AI Infrastructure,,,,AI Infrastructure,"The extent to which there is adequate compute capacity and enabling technical infrastructure that government and other actors can rely on over the long term to develop and use AI, with sufficient high-quality data that is accessible and flows securely within and across borders.","Oxford Insights GAIRI 2025 Methodology Report, p.6"
2025,pillar,Public Sector Adoption,,,,Public Sector Adoption,"The extent to which the government's digital policy encourages testing how AI can solve public-sector challenges and, where AI proves effective, scales those solutions, demonstrated through its e-government delivery capabilities.","Oxford Insights GAIRI 2025 Methodology Report, p.6"
2025,pillar,Development & Diffusion,,,,Development & Diffusion,"The extent to which there is a mature AI sector able to meet the needs of local clients and consumers and push long-term AI innovation, backed by sufficient human capital to meet demand for wider AI technology diffusion among industry, researchers and civil society.","Oxford Insights GAIRI 2025 Methodology Report, p.6"
2025,pillar,Resilience,,,,Resilience,"The extent to which the government manages the social, economic and environmental challenges of a societal transition towards widespread AI adoption, actively monitoring and preparing for new risks to national safety and security as AI development and diffusion progresses.","Oxford Insights GAIRI 2025 Methodology Report, p.6"
2025,dimension,Policy Capacity,Policy vision,,,Policy vision,"Whether the government has published a clear national AI strategy and high-level vision, including an AI advisory council and stated intent to participate in international cooperation on AI research and governance.",Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Policy Capacity,Policy commitment,,,Policy commitment,"Whether the strategy is backed by implementation: published actions, outputs and a timeline (a roadmap with designated ministries and monitoring methods), and updates to policy over time.",Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,AI Infrastructure,Compute capacity,,,Compute capacity,Whether the country has adequate computational resources (for example data-centre and processing capacity) that government and other actors can rely on to develop and use AI.,Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,AI Infrastructure,Enabling technical infrastructure,,,Enabling technical infrastructure,"Whether foundational connectivity and technical infrastructure (networks, broadband, cloud) are in place to support AI development and deployment.",Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,AI Infrastructure,Data quality,,,Data quality,"Whether sufficient, high-quality data is available and accessible for a wide range of AI problems, flowing securely within and across borders.",Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Governance,Governance principles,,,Governance principles,Whether the government promotes clear principles for the responsible development and adoption of AI that protect people's rights and societal interests.,Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Governance,Regulatory compliance,,,Regulatory compliance,Whether an adaptive regulatory environment supports and enforces compliance for the development and use of AI.,Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Public Sector Adoption,Government digital policy,,,Government digital policy,Whether government digital policy encourages testing and piloting of AI to solve public-sector challenges.,Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Public Sector Adoption,e-Government delivery,,,e-Government delivery,"Whether the government scales effective AI solutions, demonstrated through the maturity of its digital and e-government service delivery.",Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Development & Diffusion,Human capital,,,Human capital,Whether there is sufficient human capital and skills to support a domestic AI sector and wider adoption of AI.,Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Development & Diffusion,AI sector maturity,,,AI sector maturity,Whether there is a mature domestic AI sector able to meet the needs of local clients and drive long-term AI innovation.,Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Development & Diffusion,AI technology diffusion,,,AI technology diffusion,"Whether AI technologies are diffusing among industry players, researchers and civil society who apply AI in their domains.",Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Resilience,Societal transition,,,Societal transition,"Whether the government manages the social, economic and environmental challenges of a societal transition towards widespread AI adoption.",Oxford Insights GAIRI 2025 Methodology Report
2025,dimension,Resilience,Safety and security,,,Safety and security,Whether the government actively monitors and prepares for new risks to national safety and security as AI develops and diffuses.,Oxford Insights GAIRI 2025 Methodology Report
2025,indicator,Policy Capacity,Policy vision,National AI Strategy,,National AI Strategy,Evidence of an overarching published national AI strategy demonstrating a whole-of-government policy vision (100 published / 50 draft or announced / 0 none).,Desk research (GAIRI 2025 Methodology Report)
2025,indicator,Policy Capacity,Policy vision,AI Advisory Council,,AI Advisory Council,"A multistakeholder body of AI experts advising government on AI implementation and use, broader in remit than drafting the strategy itself.",Desk research (GAIRI 2025 Methodology Report)
2025,indicator,Policy Capacity,Policy vision,Publication of Strategy Updates,,Publication of Strategy Updates,"Whether the country has published policy documentation beyond its original strategy (additional phase, implementation plan or further strategy).",Desk research (GAIRI 2025 Methodology Report)
2025,indicator,Policy Capacity,Policy vision,International Cooperation on AI R&D,,International Cooperation on AI R&D,"Active joint R&D collaborations, bilateral agreements, co-funded initiatives or hosting of major international AI R&D events.",Desk research (GAIRI 2025 Methodology Report)
2025,indicator,Policy Capacity,Policy vision,International Cooperation on AI Governance,,International Cooperation on AI Governance,Engaged participation in global AI governance fora and contribution to international AI safety or governance standards.,Desk research (GAIRI 2025 Methodology Report)
2025,indicator,Policy Capacity,Policy commitment,"Actions, outputs and timeline in AI Strategy",,"Actions, outputs and timeline in AI Strategy","Whether the strategy includes a robust implementation roadmap: specific actions, designated ministries, a timeline and monitoring methods (100 roadmap / 50 actions only / 0 none).",Desk research (GAIRI 2025 Methodology Report)
